x,y,z,pid,camid,color
2.4532626,11.338473,,556,4,#B6E880
0.5410829,-7.6859713,,532,7,#19D3F3
8.134863,-12.338115,,594,3,#FF6692
0.023233382,9.013026,,524,8,#EF553B
5.986237,-12.95633,,540,6,#FECB52
1.3007966,18.73235,,528,5,#AB63FA
17.462503,6.8368206,,524,5,#EF553B
-12.64093,-3.202371,,554,7,#FF6692
2.939873,1.1014595,,558,7,#FF97FF
17.256912,-7.6227717,,530,4,#FFA15A
2.737795,-9.516291,,542,5,#636EFA
2.546095,4.3845687,,542,8,#636EFA
-6.9280267,14.088435,,518,2,#FF97FF
15.7072525,7.387239,,570,1,#FFA15A
12.603475,-0.9333169,,502,4,#636EFA
-2.5307791,3.077484,,558,3,#FF97FF
6.038053,-11.462077,,554,3,#FF6692
-11.247678,7.2225895,,518,6,#FF97FF
15.488712,-3.9589505,,570,5,#FFA15A
13.377053,1.3890357,,542,1,#636EFA
-2.2957158,-4.694876,,532,3,#19D3F3
13.121685,0.689083,,524,1,#EF553B
14.02849,-6.854589,,540,2,#FECB52
-9.983966,-5.663155,,528,1,#AB63FA
-2.446785,-11.565701,,600,8,#FECB52
12.242509,-4.196211,,594,7,#FF6692
10.0285425,6.9215984,,542,4,#636EFA
3.112265,-1.8458028,,530,8,#FFA15A
11.880292,10.909683,,580,3,#FECB52
13.213775,11.802297,,558,6,#FF97FF
-5.673784,2.6903777,,530,5,#FFA15A
-12.515801,1.8892385,,554,6,#FF6692
18.455936,-4.676689,,524,4,#EF553B
9.8253975,-2.4031687,,540,7,#FECB52
9.090949,1.5549829,,528,4,#AB63FA
-2.1029916,2.3029933,,532,6,#19D3F3
2.267622,-2.826405,,556,5,#B6E880
-11.122197,5.395422,,564,1,#EF553B
4.819796,13.196876,,556,8,#B6E880
6.2252946,-3.484003,,540,3,#FECB52
2.0560646,-12.39827,,600,4,#FECB52
-11.537256,0.8808808,,564,5,#EF553B
2.581516,-4.9447446,,556,1,#B6E880
4.9340024,3.8610551,,532,2,#19D3F3
18.83142,-1.4140657,,526,3,#00CC96
-4.6078205,-2.1492553,,502,8,#636EFA
-11.222548,-0.9907148,,554,2,#FF6692
-0.104572766,7.116865,,558,2,#FF97FF
1.2705961,4.031185,,530,1,#FFA15A
0.14017463,2.7232177,,580,7,#FECB52
12.528058,-10.525956,,594,5,#FF6692
16.257221,1.7701137,,572,4,#19D3F3
17.752254,-3.097312,,594,8,#FF6692
-5.5475593,-6.154953,,600,7,#FECB52
13.950314,16.00045,,598,8,#FF97FF
-2.896092,6.9764876,,582,7,#636EFA
-9.062911,0.65876514,,564,6,#EF553B
15.102591,-1.485252,,568,6,#AB63FA
-2.5967638,17.8736,,596,6,#B6E880
2.5781586,13.070273,,570,7,#FFA15A
3.534218,-7.084739,,514,4,#FF6692
-2.7863343,9.95269,,558,1,#FF97FF
-9.042956,-3.6505575,,530,2,#FFA15A
-1.9040926,13.474423,,566,8,#00CC96
-2.4633334,5.7601295,,580,4,#FECB52
-10.73367,3.7004664,,566,5,#00CC96
7.368736,1.4306445,,502,6,#636EFA
-3.6297092,3.0372863,,596,2,#B6E880
-4.2029214,-10.539351,,542,7,#636EFA
-3.2529473,-5.4156127,,502,2,#636EFA
-8.759493,8.993574,,566,1,#00CC96
-9.140429,-0.5331487,,558,5,#FF97FF
10.121797,-11.525374,,530,6,#FFA15A
5.489379,11.836632,,600,3,#FECB52
-5.7530932,-7.5797634,,516,3,#B6E880
12.26,18.301458,,598,1,#FF97FF
13.993235,-10.951063,,594,1,#FF6692
4.4297743,6.948791,,564,2,#EF553B
10.326004,3.0576987,,582,3,#636EFA
1.1315048,5.186602,,502,7,#636EFA
3.4205878,18.903814,,566,4,#00CC96
11.007933,-2.7493832,,580,5,#FECB52
-1.39386,-1.9314176,,580,8,#FECB52
4.8965144,-6.6140227,,514,5,#FF6692
-2.7865314,14.5293865,,518,5,#FF97FF
10.8846035,3.3474689,,570,6,#FFA15A
-4.185731,9.07073,,596,7,#B6E880
-11.172209,-1.9022188,,514,8,#FF6692
3.90348,11.383837,,556,3,#B6E880
-11.54906,9.68983,,564,7,#EF553B
-4.7170005,15.792555,,582,6,#636EFA
15.24632,4.613948,,572,8,#19D3F3
4.776095,-1.4399823,,600,6,#FECB52
10.410166,-1.3731123,,524,2,#EF553B
14.985601,2.152113,,516,6,#B6E880
14.11839,10.853096,,572,5,#19D3F3
-8.011171,10.537534,,582,2,#636EFA
-0.16588168,-9.125282,,556,7,#B6E880
6.869616,15.544016,,572,1,#19D3F3
9.491253,-10.35156,,524,6,#EF553B
-0.6746832,-1.0274564,,600,2,#FECB52
9.905979,8.346111,,580,1,#FECB52
9.0858,12.535032,,502,3,#636EFA
4.729708,16.896402,,596,3,#B6E880
-4.0605335,1.3247648,,518,1,#FF97FF
13.553094,14.299715,,570,2,#FFA15A
-9.381854,4.178888,,514,1,#FF6692
13.65319,4.416467,,542,2,#636EFA
15.184358,-7.1119547,,526,1,#00CC96
4.934745,-6.652477,,514,5,#FF6692
10.659296,-7.1830273,,530,3,#FFA15A
3.3738468,18.856983,,566,4,#00CC96
-10.02313,-2.4775467,,528,2,#AB63FA
6.3159294,-0.90379906,,540,1,#FECB52
10.408549,-1.3693843,,524,2,#EF553B
15.183723,4.6757236,,572,8,#19D3F3
-4.614777,15.891393,,582,6,#636EFA
3.9157228,11.3944235,,556,3,#B6E880
9.477557,-10.366787,,524,6,#EF553B
-1.3643888,8.162578,,528,6,#AB63FA
-5.9232635,5.0521817,,540,5,#FECB52
4.926662,2.3881378,,540,8,#FECB52
8.151364,1.767683,,532,4,#19D3F3
-0.09958062,-9.186118,,556,7,#B6E880
-8.044876,10.504779,,582,2,#636EFA
-9.37357,4.1706724,,514,1,#FF6692
10.082088,-0.033998743,,526,5,#00CC96
1.6739324,-6.697038,,542,6,#636EFA
3.6209738,8.391052,,558,4,#FF97FF
6.6211014,-6.840081,,532,1,#19D3F3
-7.106385,6.497539,,556,2,#B6E880
15.110575,-1.4720609,,568,6,#AB63FA
7.417751,-1.0682751,,524,3,#EF553B
2.0850484,2.1126626,,528,3,#AB63FA
13.8884115,15.941283,,598,8,#FF97FF
16.277895,1.7910169,,572,4,#19D3F3
-1.9093939,13.463197,,566,8,#00CC96
-9.086286,-3.6085064,,530,2,#FFA15A
-2.7819006,9.943878,,558,1,#FF97FF
3.8921976,-13.483934,,554,1,#FF6692
-2.6254673,17.842546,,596,6,#B6E880
1.72661,-13.900543,,554,5,#FF6692
10.174653,-11.46409,,530,6,#FFA15A
-9.146277,-0.52283496,,558,5,#FF97FF
0.36002278,-12.400848,,554,8,#FF6692
-1.8526903,10.946489,,558,8,#FF97FF
-4.1578007,-10.5863695,,542,7,#636EFA
-3.6286418,3.0384371,,596,2,#B6E880
1.818898,8.22222,,532,8,#19D3F3
10.941082,9.232331,,556,6,#B6E880
9.186404,17.17335,,532,5,#19D3F3
-0.16550025,0.7426312,,528,7,#AB63FA
13.471775,3.028732,,540,4,#FECB52
10.232498,1.2003344,,524,7,#EF553B
-12.499247,1.8725688,,554,6,#FF6692
-7.012838,-2.6260324,,566,2,#00CC96
11.872414,10.917062,,580,3,#FECB52
8.439649,-4.53771,,502,1,#636EFA
-6.0084486,11.781926,,518,3,#FF97FF
-0.60976744,17.633791,,596,1,#B6E880
-1.4159484,-13.867143,,514,3,#FF6692
-11.1157255,5.384898,,564,1,#EF553B
-0.86339074,-5.2888813,,568,1,#AB63FA
16.344606,-0.9207091,,572,3,#19D3F3
14.907195,-8.841186,,594,2,#FF6692
10.533477,15.934835,,598,2,#FF97FF
-8.706453,3.0908272,,564,8,#EF553B
13.253719,7.024671,,568,5,#AB63FA
-7.9789224,1.6808195,,582,4,#636EFA
-11.538,0.88107055,,564,5,#EF553B
2.1640487,-12.273675,,600,4,#FECB52
7.5565524,-2.962868,,594,6,#FF6692
12.06152,-1.7466668,,572,7,#19D3F3
0.83079034,12.870024,,502,5,#636EFA
0.1317439,2.7392168,,580,7,#FECB52
0.56393385,1.6473734,,566,6,#00CC96
-11.260082,-1.0256985,,554,2,#FF6692
-4.6198616,-2.1314616,,502,8,#636EFA
-7.4060574,-4.162564,,514,7,#FF6692
-4.3963995,13.986693,,596,5,#B6E880
7.1397753,12.417707,,570,4,#FFA15A
18.83141,-1.4143466,,526,3,#00CC96
1.5879186,16.151957,,596,8,#B6E880
1.2836019,18.715256,,528,5,#AB63FA
5.967697,-12.93845,,540,6,#FECB52
-5.412877,-8.98749,,600,1,#FECB52
15.612852,13.987488,,598,3,#FF97FF
-0.118924215,3.8705509,,516,1,#B6E880
8.084034,-12.365357,,594,3,#FF6692
19.464838,3.9504068,,572,2,#19D3F3
0.54445624,-7.6379538,,532,7,#19D3F3
-2.9857817,-1.9781971,,582,1,#636EFA
-10.992243,-3.7412734,,514,2,#FF6692
15.70543,7.3837204,,570,1,#FFA15A
-6.9340534,14.083768,,518,2,#FF97FF
12.18685,13.117863,,580,2,#FECB52
-7.441997,4.445308,,566,3,#00CC96
19.021444,6.131668,,570,8,#FFA15A
15.503948,-3.97574,,570,5,#FFA15A
-11.209607,7.1936088,,518,6,#FF97FF
-1.4236956,15.492536,,596,4,#B6E880
-5.4186916,1.2046151,,514,6,#FF6692
7.0118732,13.8374815,,566,7,#00CC96
15.243728,10.016556,,580,6,#FECB52
12.593269,-0.928529,,502,4,#636EFA
12.319424,2.422631,,572,6,#19D3F3
-2.4469147,-11.5666,,600,8,#FECB52
12.248016,-4.1882668,,594,7,#FF6692
8.119627,-14.150952,,516,5,#B6E880
15.407285,12.355785,,598,7,#FF97FF
-2.0380065,-0.22297348,,600,5,#FECB52
-9.97449,-5.673136,,528,1,#AB63FA
14.031007,-6.8529377,,540,2,#FECB52
-1.0852872,1.1486158,,564,4,#EF553B
7.9037094,6.898909,,582,5,#636EFA
8.465269,0.53813785,,582,8,#636EFA
-2.2727044,-4.6687784,,532,3,#19D3F3
7.495662,8.23338,,592,5,#19D3F3
-5.192338,-0.26945478,,574,4,#FF6692
6.012972,6.250114,,578,4,#FF97FF
4.871916,-3.4597082,,510,7,#FFA15A
6.631038,-4.6736426,,584,7,#EF553B
-0.82330215,6.660121,,588,7,#AB63FA
5.09063,8.730644,,506,5,#00CC96
-6.5133595,-0.78357625,,506,8,#00CC96
-0.91604906,2.416254,,548,3,#AB63FA
4.6283126,-9.563042,,590,6,#FFA15A
-2.6218808,-3.1996295,,576,7,#B6E880
-1.5570238,9.343009,,560,8,#FECB52
4.192269,10.244027,,552,1,#19D3F3
-5.3592567,10.707052,,586,4,#00CC96
7.55908,-6.2175756,,560,5,#FECB52
-4.1371493,12.785334,,508,6,#AB63FA
6.001103,-9.682454,,504,6,#EF553B
6.288161,0.53260684,,576,3,#B6E880
4.4205866,-15.212027,,590,2,#FFA15A
15.2829485,0.31804624,,520,4,#FECB52
14.045065,-0.2327832,,548,7,#AB63FA
16.399645,9.183143,,504,2,#EF553B
-8.472413,-6.4088764,,560,1,#FECB52
14.185115,9.016738,,508,2,#AB63FA
-9.264844,6.741681,,552,5,#19D3F3
0.449853,15.214691,,510,3,#FFA15A
17.689802,12.710408,,592,1,#19D3F3
8.304863,-1.8557544,,506,1,#00CC96
16.485714,-1.9066507,,588,3,#AB63FA
11.072076,-8.768734,,584,3,#EF553B
0.61086273,6.341601,,534,8,#FF6692
16.787075,-4.3997006,,504,7,#EF553B
5.9806433,1.9068117,,508,7,#AB63FA
3.7218342,14.615081,,586,5,#00CC96
1.7814995,-1.7913952,,586,8,#00CC96
11.467396,0.19407356,,512,5,#19D3F3
-0.9658269,5.8541927,,576,6,#B6E880
12.6788845,-7.4920955,,590,7,#FFA15A
-3.7983787,11.096363,,506,4,#00CC96
10.630007,13.413246,,588,6,#AB63FA
4.950878,-8.135637,,584,6,#EF553B
13.405332,-9.564732,,578,8,#FF97FF
2.510998,-7.8719687,,574,8,#FF6692
1.500526,-3.7996395,,578,5,#FF97FF
3.5940304,-2.9926267,,510,6,#FFA15A
19.419981,0.8642952,,574,5,#FF6692
-8.681382,-1.777897,,584,2,#EF553B
15.551491,-10.697736,,562,3,#636EFA
-4.050576,-3.6873984,,588,2,#AB63FA
4.8762484,1.5117599,,534,4,#FF6692
8.890909,-3.3601627,,574,1,#FF6692
17.636366,2.948491,,578,1,#FF97FF
8.614282,13.768637,,510,2,#FFA15A
-6.7313385,9.563338,,586,1,#00CC96
3.6425722,-11.453408,,508,3,#AB63FA
17.934072,4.4646683,,504,3,#EF553B
-7.7704344,5.514143,,520,8,#FECB52
-5.0428996,6.2052164,,576,2,#B6E880
6.9997554,-1.8425949,,512,1,#19D3F3
3.7093716,4.1930037,,584,1,#EF553B
9.2712965,-8.214863,,538,7,#FF97FF
5.686417,7.262249,,550,4,#FFA15A
-6.753445,-5.8599463,,534,7,#FF6692
-4.8503027,-13.023827,,522,8,#636EFA
3.163355,16.954231,,522,5,#636EFA
-5.580326,8.552022,,552,7,#19D3F3
12.410103,-5.8618035,,560,3,#FECB52
-3.6021857,0.3883729,,544,5,#EF553B
0.8616864,0.11782235,,520,6,#FECB52
1.785705,-0.41719073,,548,5,#AB63FA
9.0249605,9.927304,,544,8,#EF553B
7.9545946,4.367744,,560,7,#FECB52
-12.970755,5.5216146,,508,4,#AB63FA
3.2151997,9.228529,,552,3,#19D3F3
10.920321,11.6183815,,512,6,#19D3F3
2.9516802,7.4950156,,520,2,#FECB52
-3.8782072,4.7223325,,548,1,#AB63FA
2.050248,5.722824,,544,1,#EF553B
1.1913335,-9.242932,,538,3,#FF97FF
-6.554932,3.3906095,,584,5,#EF553B
6.078848,17.760517,,522,1,#636EFA
1.087687,7.2969546,,546,2,#00CC96
7.5091653,-7.892655,,590,1,#FFA15A
-0.5930492,-7.1340218,,520,7,#FECB52
15.968724,-3.0997822,,536,5,#B6E880
5.2578197,14.7893305,,552,6,#19D3F3
-9.691098,-8.066094,,522,4,#636EFA
-5.8642488,-2.8171422,,546,7,#00CC96
6.251952,-8.060658,,574,3,#FF6692
-2.4140382,4.204732,,534,6,#FF6692
4.0102415,5.7107687,,538,6,#FF97FF
12.0072155,14.772757,,550,5,#FFA15A
11.436288,7.460912,,550,8,#FFA15A
-1.8771801,-6.046724,,506,2,#00CC96
11.285685,1.4609306,,506,6,#00CC96
9.024763,-0.8025362,,538,2,#FF97FF
13.360273,-2.3000414,,550,1,#FFA15A
5.3794475,4.9416747,,534,2,#FF6692
-1.4146045,4.5250335,,590,5,#FFA15A
-7.5504804,-0.5195879,,552,2,#19D3F3
8.644382,5.8143964,,508,8,#AB63FA
9.378667,2.2601755,,536,1,#B6E880
15.967773,-3.10427,,536,5,#B6E880
13.492506,6.0072613,,508,1,#AB63FA
-0.47881225,13.197099,,560,2,#FECB52
-3.4161756,8.116332,,586,3,#00CC96
16.742393,5.6699305,,504,1,#EF553B
7.51826,-7.901559,,590,1,#FFA15A
10.630969,5.216999,,512,3,#19D3F3
14.020077,-5.302811,,562,1,#636EFA
-1.8816174,-6.0473533,,506,2,#00CC96
11.444219,7.478067,,550,8,#FFA15A
6.248583,-8.083998,,574,3,#FF6692
12.738039,9.761459,,592,2,#19D3F3
1.7594317,14.496306,,578,3,#FF97FF
5.4963703,-5.0838227,,588,4,#AB63FA
11.281352,1.4540056,,506,6,#00CC96
